Rank,Change,Name,League Number,League,Steam Name,Xbox Name,PSN Name,Cashouts
1,1,swako#6659,20,Diamond 1,swako_o tv,,SWAKOFINALS,0
2,-1,Zee#0649,20,Diamond 1,Kunozee,,EarningVenus89,0
3,0,okra#1574,20,Diamond 1,lamp,,,0
4,0,BaliseTV#6454,20,Diamond 1,BaliseTV,,,0
5,1,Grad#9653,20,Diamond 1,GraduatingTTV/Grad on Kick,,,0
6,1,BattleGold#0481,20,Diamond 1,,,otownrez,0
7,1,Casual#8878,20,Diamond 1,KR Joe,,CasualOppTF,0
8,3,ChargingWheel#9737,20,Diamond 1,L T,,,0
9,1,ProntoMoney#1552,20,Diamond 1,carnifex,,marcobadolato,0
10,10,Known#3604,20,Diamond 1,,Knonwn,,0
11,5,commit#7252,20,Diamond 1,lycommit ttv,,diziIy_,0
12,3,Sit#0876,20,Diamond 1,,,istSit,0
13,0,Axbo#1067,20,Diamond 1,,AxboXD,,0
14,0,Kragie#0398,20,Diamond 1,Kragie,,,0
15,2,Choe#1587,20,Diamond 1,,Choe,,0
16,-4,rxzdiff#3304,20,Diamond 1,rxzdiff,,Riskymdy,0
17,4,RaddTTV#0658,20,Diamond 1,Radd,,,0
18,0,lysticᵗᵗᵛ#5612,20,Diamond 1,lystic ttv,,,0
19,24,Elvyn_On_Twitch#7525,20,Diamond 1,Elvyn Twitch/Kick,,,0
20,2,ChippedScore#5668,20,Diamond 1,BR3ZR,,,0
21,2,sixsav#0308,20,Diamond 1,sixsav,qnxrc,UntamedFemboy,0
22,-3,CoolCheese#3515,20,Diamond 1,coolcheesevevo,,CoolCheese101,0
23,-18,neteX#1294,20,Diamond 1,net,,bmwnetex,0
24,31,SmxthyJ#6576,20,Diamond 1,,Smxthy J,,0
25,10,10#4673,20,Diamond 1,,,mm-1qaz-2wsx,0
26,1,Etelco#4130,20,Diamond 1,Etelco,,,0
27,-1,Dyrani#0462,20,Diamond 1,Dyrrani ᵗᵗᵛ,,,0
28,-4,Detailed#4664,20,Diamond 1,DetailedTV (TTV),,Kyuushin2355,0
29,-20,Gigz#6349,20,Diamond 1,Gigz,,T1-Gigz,0
30,10,Some0ne#8393,20,Diamond 1,Some0ne,,,0
31,-3,DYQCLB#0380,20,Diamond 1,노병 병병,,,0
32,10,Coma#4356,20,Diamond 1,,iComaa,ComaT1-,0
33,-8,Bidonqt#1645,20,Diamond 1,Bidon,,jerky_mansion36,0
34,-5,StreetBlade#7625,20,Diamond 1,6,,,0
35,-5,mvches#7173,20,Diamond 1,@mvches¿? solo q mosquito,,,0
36,-4,Exsoum#9409,20,Diamond 1,exsoum,,,0
37,71,WingedEgg#2916,20,Diamond 1,,,LifeDivines,0
38,-4,Andrew#1913,20,Diamond 1,Andr00F,,,0
39,-6,EHU27HBCQ#5365,20,Diamond 1,Rxnquu,,Rxnquu,0
40,-4,Maz#6519,20,Diamond 1,maz,,,0
41,-4,FlawlessGeomorph#3704,20,Diamond 1,天才少年,,,0
42,-4,D1#0721,20,Diamond 1,D1vision__ TTV,,,0
43,69,TTVbanditocm#9164,20,Diamond 1,,,TTVbanditocm,0
44,15,FunSlam#4526,20,Diamond 1,,,I---VEGA---I,0
45,-4,DazzlingCat#9494,20,Diamond 1,Tiktok_청나라 노병,,,0
46,34,9URWMAW27#0173,20,Diamond 1,,,DaddyWithAnFCAR,0
47,-8,NevermoreTF#1869,20,Diamond 1,NevermoreTF ᵗᵗᵛ,,,0
48,16,RazorCalzor#0019,20,Diamond 1,,RazorCalzor,,0
49,13,FizzyBoss#7508,20,Diamond 1,,Brawcky,,0
50,16,AlenciYt#2155,20,Diamond 1,,,Alenci-Yt,0
51,22,ttvgloccalwayss#9406,20,Diamond 1,,,TTVglocalways,0
52,-8,Silicium#1681,20,Diamond 1,Silicium,,,0
