Rank,Change,Name,League Number,League,Steam Name,Xbox Name,PSN Name,Cashouts
1,0,Gigz#6349,20,Diamond 1,Gigz,,T1-Gigz,0
2,0,Zee#0649,20,Diamond 1,Kunozee,,EarningVenus89,0
3,0,swako#6659,20,Diamond 1,swako,,SWAKOFINALS,0
4,0,okra#1574,20,Diamond 1,lamp,,,0
5,1,BaliseTV#6454,20,Diamond 1,BaliseTV,,,0
6,4,Grad#9653,20,Diamond 1,GraduatingTTV/Grad on Kick,,,0
7,2,neteX#1294,20,Diamond 1,net,,bmwnetex,0
8,-1,commit#7252,20,Diamond 1,lycommit ttv,,diziIy_,0
9,-1,ProntoMoney#1552,20,Diamond 1,carnifex,,marcobadolato,0
10,-5,BattleGold#0481,20,Diamond 1,,,otownrez,0
11,0,Casual#8878,20,Diamond 1,KR Joe,,CasualOppTF,0
12,2,Axbo#1067,20,Diamond 1,,AxboXD,,0
13,3,Kragie#0398,20,Diamond 1,Kragie,,,0
14,-1,Choe#1587,20,Diamond 1,,Choe,,0
15,0,lysticᵗᵗᵛ#5612,20,Diamond 1,lystic ttv,,,0
16,2,RaddTTV#0658,20,Diamond 1,Radd,,,0
17,4,NevermoreTF#1869,20,Diamond 1,NevermoreTF ᵗᵗᵛ,,,0
18,-1,ChippedScore#5668,20,Diamond 1,BR3ZR,,,0
19,-7,Sit#0876,20,Diamond 1,,,istSit,0
20,5,fool#3505,20,Diamond 1,护航上钻+q1185508837,,,0
21,-2,Detailed#4664,20,Diamond 1,DetailedTV (TTV),,Kyuushin2355,0
22,1,Etelco#4130,20,Diamond 1,Etelco,,,0
23,-1,DYQCLB#0380,20,Diamond 1,노병 병병,,,0
24,3,ChargingWheel#9737,20,Diamond 1,西北第一深情,,,0
25,11,Bidonqt#1645,20,Diamond 1,Bidon,,jerky_mansion36,0
26,0,PlayfulWeb#7312,20,Diamond 1,총신신신,,,0
27,1,SmxthyJ#6576,20,Diamond 1,,Smxthy J,,0
28,1,Dyrani#0462,20,Diamond 1,Dyrrani ᵗᵗᵛ,,,0
29,2,SwiftShotgun#0468,20,Diamond 1,Tenjin,,,0
30,19,TaeKewjoe#0714,20,Diamond 1,ND1 TaeKewjoe,,,0
31,11,EHU27HBCQ#5365,20,Diamond 1,,,Rxnquu,0
32,38,Elvyn_On_Twitch#7525,20,Diamond 1,Power,,,0
33,-1,Andrew#1913,20,Diamond 1,Andr00F,,,0
34,-1,Maz#6519,20,Diamond 1,maz,,,0
35,17,EM6L#0840,20,Diamond 1,ᵗᵗᵛ EM6L,,,0
36,-2,FlawlessGeomorph#3704,20,Diamond 1,天才少年,,,0
37,13,CoolCheese#3515,20,Diamond 1,coolcheesevevo,,CoolCheese101,0
38,108,Mickabnv#0819,20,Diamond 1,,,mickabnv,0
39,-2,ExcitingKatana#7092,20,Diamond 1,,Lvnem,scugnizzu24,0
40,-2,Exsoum#9409,20,Diamond 1,exsoum,,,0
41,5,VirtualWeb#9749,20,Diamond 1,Handsome Boy,,,0
42,5,sixsav#0308,20,Diamond 1,sixsav,qnxrc,UntamedFemboy,0
43,2,rxzdiff#3304,20,Diamond 1,rxzdiff,,,0
44,0,mvches#7173,20,Diamond 1,@mvches¿? solo q mosquito,,,0
45,-15,SmashPro#3076,20,Diamond 1,,Gurdious,,0
46,11,Harbinger#1027,20,Diamond 1,Harbinger,,ahueni_paren2581,0
47,-6,Known#3604,20,Diamond 1,,Knonwn,,0
48,-24,Some0ne#8393,20,Diamond 1,Some0ne,,,0
49,57,Silicium#1681,20,Diamond 1,Silicium,,,0
50,-2,Nykho#7568,20,Diamond 1,Nykho,,,0
51,-12,TTVbanditocm#9164,20,Diamond 1,,,TTVbanditocm,0
52,-1,Dark#2817,20,Diamond 1,Twitch_Zyllm,,,0
53,-33,spring#0743,20,Diamond 1,springhour,,,0
54,12,niko#9388,20,Diamond 1,niko,,,0
55,1,FlyingZipline#4860,20,Diamond 1,Uncle Shall,,HUNTELAARSH,0
56,-16,Coma#4356,20,Diamond 1,,iComaa,ComaT1-,0
57,20,p1zza#2127,20,Diamond 1,p1zza,,,0
58,-3,D1#0721,20,Diamond 1,D1vision__ TTV,,,0
59,2,FizzyBoss#7508,20,Diamond 1,,Brawcky,,0
60,497,CloakingTrain#4030,20,Diamond 1,john,,,0
61,-3,ProntoMap#1865,20,Diamond 1,,,KJX,0
62,37,TwitchTV_yoshztw#5152,20,Diamond 1,yoshztw ᵗᵗᵛ,,,0
63,48,FastButcher#2068,20,Diamond 1,笑着笑着就流水,HugeCheese63801,,0
64,12,Treason#4237,20,Diamond 1,twitch.tv/treason_fps,,,0
65,117,zhangdashuai#3423,20,Diamond 1,moment,ProvenLion82555,,0
66,-6,blurenceTTV#9498,20,Diamond 1,blur,,blurencettv,0
