Rank,Change,Name,League Number,League,Steam Name,Xbox Name,PSN Name,Cashouts
88,-22,TwitchTV_yoshztw#5152,20,Diamond 1,yoshztw ᵗᵗᵛ,,,0
89,73,DustyPioneer#2194,20,Diamond 1,Deadshot,,,0
90,-7,vraic#3631,20,Diamond 1,vraic,,,0
91,-6,SuddenSword#8848,20,Diamond 1,Luis,,,0
92,96,dusik_wraith#4979,20,Diamond 1,ДУСИК ФАНАТ БАЛТИМОР,,,0
93,-3,Blax#0290,20,Diamond 1,Blax,,,0
94,14,9URWMAW27#0173,20,Diamond 1,,,DaddyWithAnFCAR,0
95,-7,Treason#4237,20,Diamond 1,twitch.tv/treason_fps,,,0
96,-7,VirtualWeb#9749,20,Diamond 1,Handsome Boy,,,0
97,97,DeFelice24#9315,20,Diamond 1,,,DeFelice24,0
98,-7,TFBOY#4503,20,Diamond 1,抖音B站：小月月鸟此号出售,,,0
99,51,Inori#0635,20,Diamond 1,Washed Up Diamond Dogshit,Inori G20,,0
100,-7,GlitchyWarrior#2470,20,Diamond 1,Eversion x TTV,,,0
101,-7,ChippedPerson#1264,20,Diamond 1,勇者心上不凋花,,billkanye,0
102,-6,SkulledExpert#0247,20,Diamond 1,,The Canyon King,,0
103,-43,SpeedyWheel#5419,20,Diamond 1,bread,Take1E,,0
104,40,JiaXiang#7655,20,Diamond 1,joker,,,0
105,-8,YuuYouYoo#0691,20,Diamond 1,YuuYouYoo,,,0
106,135,ImposingSweep#0392,20,Diamond 1,Decryptics,,,0
107,15,Fol1n#9485,20,Diamond 1,,,SKR_MrFolino,0
108,2,Pyronabbo#4714,20,Diamond 1,Pyronabbo,,,0
109,15,AFI#1552,20,Diamond 1,,,AFI,0
110,-8,WingedEgg#2916,20,Diamond 1,,,LifeDivines,0
111,-8,BABABOY#6120,20,Diamond 1,抖音TheFinals特工,RosyZebra570415,sentient_dusk61,0
112,-8,StealthyDefender#6376,20,Diamond 1,Baltls TTV,,,0
113,-7,Sora#5635,20,Diamond 1,a shame that i can read ur mind,,,0
114,-4,PowerGeomorph#5024,20,Diamond 1,mode: Rellince,,LimboJeyY,0
114,-34,Appoh#6140,20,Diamond 1,Appoh,,,0
114,-4,JOHNWICH001#8828,20,Diamond 1,wick666,LinenBlock43570,,0
114,-30,Hi-techEgg#3077,20,Diamond 1,妹妹坐船头哥哥扒裤头,EastFerret77355,,0
114,-4,CripledChris#2723,20,Diamond 1,CripledChris,,,0
114,6,EvasiveShell#6314,20,Diamond 1,抖音B站直播 WANGFANZZZ,,,0
114,-4,QuirkyCake#1270,20,Diamond 1,,,iinpha,0
114,-40,UnusualArena#9545,20,Diamond 1,,,Sinister_Crab_,0
114,-50,TTVbanditocm#9164,20,Diamond 1,,,TTVbanditocm,0
123,-41,3aDiRi4#1361,19,Diamond 2,t.tv/3adiri4e,,,0
124,-6,Oxaahn#7276,19,Diamond 2,WAAAAAAAAAAATTHHHHHHHHH,,,0
125,43,SuperbArena#4542,19,Diamond 2,火烧靖国神社,,,0
126,-47,TiptopSoldier#3458,19,Diamond 2,brk,,,0
127,-4,zhangdashuai#3423,19,Diamond 2,moment,ProvenLion82555,,0
128,23,PixuySZN#1886,19,Diamond 2,Pixuy TTV,,,0
129,17,MESS181#3909,19,Diamond 2,,,MESS181_,0
130,-5,PromptShape#0879,20,Diamond 1,Екатерина,SpryYapper62518,PromptShape,0
131,-72,Gremlin#4321,19,Diamond 2,Gremlinᵗᵗᵛ,,,0
132,-6,ZHOG#2408,20,Diamond 1,xox,,,0
133,-14,Yaneka#9409,19,Diamond 2,Yaneka,,,0
134,-6,ChocoPapi215#5827,19,Diamond 2,,,ChocoPapi215,0
135,-6,WingedTurret#4996,19,Diamond 2,白给少年,,,0
136,0,MrStoopid#2132,19,Diamond 2,,MrStoopidLiT,,0
137,-2,MikeMeddler#4049,19,Diamond 2,,Mike Meddler,,0
138,-4,ChargingGuide#4843,19,Diamond 2,OmniProfi,,,0
139,319,Papa-Heavy#4442,19,Diamond 2,Papa Heavy,,CoreofCrazy,0
140,-3,Jayron434_ttv#0070,19,Diamond 2,,,jayron434,0
141,-3,BusinessSoup#5078,19,Diamond 2,请寄把叉到我的小学,,,0
142,-3,ab#7082,19,Diamond 2,迷失在浴室中的母0,,,0
143,-2,sdnes#0589,19,Diamond 2,,sdnes,,0
144,73,Viking#4653,19,Diamond 2,Spartan,imthebluebubble,blakepolewczyk,0
145,-3,bouhn#7963,19,Diamond 2,habibi,,,0
146,61,WhyStreamYouSuck#4503,19,Diamond 2,elo terrorist,,,0
147,0,focus#8526,19,Diamond 2,goopygorilla529,,,0
148,1,Reyes37#6186,19,Diamond 2,Reyes37TTV,,TwoHackWaif,0
149,7,RandomPlace#0178,19,Diamond 2,곱짱구,,GCG-2956,0
150,-7,Zenworldo-Twitch#8012,19,Diamond 2,Zenworldo | Twitch,,,0
151,1,A7A87BAA2#7323,19,Diamond 2,PME | BackstabOnly,,,0
152,28,VLAD-IMIR#1024,19,Diamond 2,[LRC] Vlad,,,0
153,1,ShhDaddyzHome#9474,19,Diamond 2,,Shh Daddyz Home,,0
154,-44,BigPioneer#1990,19,Diamond 2,,,TTV-BurkePOV,0
155,4,SneakyTurret#9898,19,Diamond 2,ParaR6S,,,0
156,-23,mamaring#0061,19,Diamond 2,MMR.KR/YT,,,0
157,-2,Secre3441Discord#0683,19,Diamond 2,Yam,,,0
158,125,DukeDenisRizzler#2039,19,Diamond 2,,Varien N,,0
159,-2,HandsLess.exe#9299,19,Diamond 2,HandsLess.exe ʸᵗ,,,0
160,-2,FlawlessMoney#5295,19,Diamond 2,Listen.twitter.tv,,,0
